time	V(vped)
1.214815965263016e-003	9.293255e+000
1.217568183368323e-003	9.106509e+000
1.223072619578935e-003	8.746807e+000
1.234081492000105e-003	8.078636e+000
1.256099236842445e-003	6.913289e+000
1.296099236842430e-003	5.179648e+000
1.336099236842414e-003	3.838435e+000
1.376099236842399e-003	2.844163e+000
1.416099236842383e-003	2.107096e+000
1.456099236842368e-003	1.560704e+000
1.496099236842352e-003	1.155669e+000
1.536099236842337e-003	8.554270e-001
1.576099236842321e-003	6.328726e-001
1.616099236842306e-003	4.679114e-001
1.656099236842290e-003	3.456463e-001
1.696099236842275e-003	2.550339e-001
1.736099236842259e-003	1.878868e-001
1.776099236842244e-003	1.381356e-001
1.816099236842228e-003	1.012809e-001
1.856099236842213e-003	7.398685e-002
1.896099236842197e-003	5.378054e-002
1.936099236842181e-003	3.882871e-002
1.976099236842166e-003	2.777226e-002
2.016099236842150e-003	1.960362e-002
2.056099236842135e-003	1.357586e-002
2.096099236842119e-003	9.135216e-003
2.136099236842104e-003	5.871180e-003
2.176099236842088e-003	3.371019e-003
2.187500000000009e-003	2.754937e-003
2.187595133698761e-003	2.802781e-003
2.187785401096265e-003	2.893045e-003
2.188165935891273e-003	3.085250e-003
2.188927005481289e-003	3.518760e-003
2.190449144661322e-003	4.565722e-003
2.193493423021387e-003	7.367730e-003
2.199581979741516e-003	1.568824e-002
2.211759093181775e-003	4.063917e-002
2.227382813894396e-003	8.777808e-002
2.251027386607873e-003	1.877213e-001
2.280911222633075e-003	3.545741e-001
2.320911222633060e-003	6.322169e-001
2.360911222633044e-003	9.576266e-001
2.400911222633029e-003	1.322169e+000
2.440911222633013e-003	1.715778e+000
2.480911222632998e-003	2.130987e+000
2.520911222632982e-003	2.562255e+000
2.560911222632967e-003	3.005471e+000
2.640911222632936e-003	3.916316e+000
2.760911222632889e-003	5.317474e+000
2.800911222632874e-003	5.790321e+000
2.840911222632858e-003	6.263968e+000
2.880911222632843e-003	6.738415e+000
2.920911222632827e-003	7.213663e+000
2.960911222632812e-003	7.689710e+000
3.000911222632796e-003	8.166558e+000
3.040911222632781e-003	8.644206e+000
3.080911222632765e-003	9.121008e+000
3.098538237211901e-003	9.329598e+000
3.110470471324234e-003	9.466854e+000
3.125035152486799e-003	9.625069e+000
3.140356918512388e-003	9.776591e+000
3.161772889169356e-003	9.969384e+000
3.164062500000009e-003	9.988379e+000
