X,CH1,CH2,
Second,Volt,Volt,
-7.6660000e-02,-4.60000e+00,1.60000e-02,
-7.6639995e-02,-4.60000e+00,1.60000e-02,
-7.6619998e-02,-4.60000e+00,1.60000e-02,
-7.6600000e-02,-4.60000e+00,1.60000e-02,
-7.6579995e-02,-4.60000e+00,8.00000e-03,
-7.6559998e-02,-4.60000e+00,8.00000e-03,
-7.6540001e-02,-4.60000e+00,8.00000e-03,
-7.6519996e-02,-4.60000e+00,1.60000e-02,
-7.6499999e-02,-4.60000e+00,2.40000e-02,
-7.6480001e-02,-4.60000e+00,1.60000e-02,
-7.6459996e-02,-4.60000e+00,1.60000e-02,
-7.6439999e-02,-4.60000e+00,1.60000e-02,
-7.6420002e-02,-4.60000e+00,1.60000e-02,
-7.6399997e-02,-4.60000e+00,1.60000e-02,
-7.6380000e-02,-4.60000e+00,1.60000e-02,
-7.6359995e-02,-4.60000e+00,1.60000e-02,
-7.6339997e-02,-4.60000e+00,1.60000e-02,
-7.6320000e-02,-4.60000e+00,2.40000e-02,
-7.6299995e-02,-4.60000e+00,2.40000e-02,
-7.6279998e-02,-4.60000e+00,2.40000e-02,
-7.6260000e-02,-4.60000e+00,2.40000e-02,
-7.6239996e-02,-4.60000e+00,2.40000e-02,
-7.6219998e-02,-4.60000e+00,2.40000e-02,
-7.6200001e-02,-4.60000e+00,2.40000e-02,
-7.6179996e-02,-4.60000e+00,2.40000e-02,
-7.6159999e-02,-4.60000e+00,2.40000e-02,
-7.6140001e-02,-4.60000e+00,2.40000e-02,
-7.6119997e-02,-4.60000e+00,2.40000e-02,
-7.6099999e-02,-4.60000e+00,2.40000e-02,
-7.6079994e-02,-4.60000e+00,2.40000e-02,
-7.6059997e-02,-4.60000e+00,2.40000e-02,
-7.6040000e-02,-4.60000e+00,2.40000e-02,
-7.6019995e-02,-4.60000e+00,1.60000e-02,
-7.5999998e-02,-4.60000e+00,2.40000e-02,
-7.5980000e-02,-4.60000e+00,1.60000e-02,
-7.5959995e-02,-4.60000e+00,1.60000e-02,
-7.5939998e-02,-4.60000e+00,1.60000e-02,
-7.5920001e-02,-4.60000e+00,1.60000e-02,
-7.5899996e-02,-4.60000e+00,1.60000e-02,
-7.5879999e-02,-4.60000e+00,1.60000e-02,
-7.5860001e-02,-4.60000e+00,1.60000e-02,
-7.5839996e-02,-4.56000e+00,0.00000e+00,
-7.5819999e-02,-4.52000e+00,-8.00000e-03,
-7.5800002e-02,-4.48000e+00,-8.00000e-03,
-7.5779997e-02,-4.48000e+00,-1.60000e-02,
-7.5759999e-02,-4.44000e+00,-8.00000e-03,
-7.5739995e-02,-4.40000e+00,-1.60000e-02,
-7.5719997e-02,-4.36000e+00,-1.60000e-02,
-7.5700000e-02,-4.36000e+00,-8.00000e-03,
-7.5679995e-02,-4.32000e+00,8.00000e-03,
-7.5659998e-02,-4.28000e+00,1.60000e-02,
-7.5640000e-02,-4.28000e+00,8.00000e-03,
-7.5619996e-02,-4.24000e+00,1.60000e-02,
-7.5599998e-02,-4.24000e+00,8.00000e-03,
-7.5580001e-02,-4.16000e+00,0.00000e+00,
-7.5559996e-02,-4.16000e+00,-8.00000e-03,
-7.5539999e-02,-4.12000e+00,-1.60000e-02,
-7.5520001e-02,-4.12000e+00,-1.60000e-02,
-7.5499997e-02,-4.12000e+00,-8.00000e-03,
-7.5479999e-02,-4.04000e+00,0.00000e+00,
-7.5459994e-02,-4.04000e+00,-8.00000e-03,
-7.5439997e-02,-4.00000e+00,-8.00000e-03,
-7.5420000e-02,-3.96000e+00,-8.00000e-03,
-7.5399995e-02,-3.96000e+00,0.00000e+00,
